name,address,city,state,zip,full_address,farm_type,produce,phone,website,distance,hours
Sunshine Farms,11728 County Road 37,Clanton,AL,,"11728 County Road 37, Clanton, Alabama 35045","U-Pick Farm, Orchard",Strawberries,,,,
Sunshine Valley Farms,8125 Ad Highway,Rogersville,MO,,"8125 Ad Highway, Rogersville, Missouri 65742","U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Peaches, Raspberries",,,,
Suzanne’s Fruit Farm,77 Peach Court,Hampton,AR,,"77 Peach Court, Hampton, Arkansas 71744","U-Pick Farm, Orchard","Blackberries, Blueberries, Grapes, Peaches, Plums, Pumpkins",,,,
Sweet Berries & Brambles,309 NE 120 Road,Harper,KS,,"309 NE 120 Road, Harper, Kansas 67058","U-Pick Farm, Orchard","Blackberries, Strawberries",,,,
Sweet Berry Farm,,,,,,"U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Sweet Berry Farm,915 Mitchell's Lane,Middletown,RI,,"915 Mitchell's Lane, Middletown, Rhode Island 02842","U-Pick Farm, Orchard","Apples, Blueberries, Raspberries, Strawberries",,,915 miles,
Sweet Pickin’s Pumpkin Patch,512 Kingfisher Lane,Kalispell,MT,,"512 Kingfisher Lane, Kalispell, Montana 59901","U-Pick Farm, Orchard",Pumpkins,,,,
Sweet Season Farm,77 Liberty Rd,Washington,ME,,"77 Liberty Rd, Washington, Maine 04574","U-Pick Farm, Orchard","Blueberries, Pumpkins, Raspberries, Strawberries",,,,
Sweethaven Lavender,2301 Jolly Pond Road,Williamsburg,VA,23188,"2301 Jolly Pond Road, Williamsburg, VA 23188","FestivalPicnic AreaU-Pick Farm, OrchardWedding Venue","Cut Flowers, Herbs",,,,
Tammen Treeberry Farm,,,,,,"U-Pick Farm, Orchard",Blueberries,,,,
Tanaka Farms,5380 3/4 University Dr,Irvine,CA,,"5380 3/4 University Dr, Irvine, California 92612","U-Pick Farm, Orchard","Pumpkins, Strawberries, Vegetables, Watermelons",,,,
Taylor U-Pick Blueberries (Closed For The Season),19755 S. Unger Rd,Beavercreek,OR,97004,"19755 S. Unger Rd, Beavercreek, OR 97004","U-Pick Farm, Orchard",Blueberries,,,,
Terhune Orchards,330 Cold Soil Road,Princeton,NJ,,"330 Cold Soil Road, Princeton, New Jersey 08540","U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Cherries, Nectarines, Potatoes, Rhubarb, Strawberries, Tomatoes",,,,
Terison Apple Orchard,8 Whitney Rd,Cumberland Center,ME,,"8 Whitney Rd, Cumberland Center, Maine 04021","U-Pick Farm, Orchard",Apples,,,,
TG Farms,1580 NW Hwy 37,Newcastle,OK,,"1580 NW Hwy 37, Newcastle, Oklahoma 73065","U-Pick Farm, Orchard",Blackberries,,,,
Thierbach Orchards & Berry Farm,15885 Orchard Lane,Marthasville,MO,,"15885 Orchard Lane, Marthasville, Missouri 63357","U-Pick Farm, Orchard","Apples, Blackberries, Blueberries, Peaches, Strawberries",,,,
Thompson Strawberry Farm,14000 75th Street,Bristol,WI,,"14000 75th Street, Bristol, Wisconsin 53104","U-Pick Farm, Orchard","Pumpkins, Raspberries, Strawberries",,,,
Thunderbird Berry Farm,32100 E 71st St S,Broken Arrow,OK,,"32100 E 71st St S, Broken Arrow, Oklahoma 74014","U-Pick Farm, Orchard","Blackberries, Blueberries, Raspberries, Strawberries",,,,
Timberlea Farm,705 SW Ringgold St,Boone,IA,,"705 SW Ringgold St, Boone, Iowa 50036","U-Pick Farm, Orchard",Aronia Berries,,,,
Toth Brothers,13007 E. Michigan Ave.,Grass Lake,MI,,"13007 E. Michigan Ave., Grass Lake, Michigan 49240","U-Pick Farm, Orchard",Blueberries,,,,
Trax Farms,528 Trax Road,Finleyville,,,"528 Trax Road, Finleyville,  15332","U-Pick Farm, Orchard","Blueberries, Pumpkins, Strawberries",,,,
Tree-Mendus Fruit,9351 E Eureka Rd,Eau Claire,MI,49111,"9351 E Eureka Rd, Eau Claire, MI 49111","U-Pick Farm, Orchard",Cherries,,,,
Triple B Farms,823 Berry Lane,Monongahela,PA,15063,"823 Berry Lane, Monongahela, PA 15063","BakeryCorn MazeFarm MarketFestivalHoney BeesPetting ZooPlaygroundSchool Field TripsU-Pick Farm, Orchard","Apples, Black Raspberries, Blueberries, Flowers, Peaches, Pumpkins, Raspberries, Red Raspberries, Strawberries",,,,
Truman Ranch II U-Pick Citrus,18800 W Greenway Rd,Surprise,AZ,,"18800 W Greenway Rd, Surprise, Arizona 85388","U-Pick Farm, Orchard",Citrus,,,,
TS Smith & Sons,8887 Redden Road,Bridgeville,DE,,"8887 Redden Road, Bridgeville, Delaware 19933","U-Pick Farm, Orchard","Apples, Nectarines, Peaches, Pumpkins",,,,
Tubbs Berry Farm,1150 S Park Ave W,Twin Falls,ID,,"1150 S Park Ave W, Twin Falls, Idaho 83301","U-Pick Farm, Orchard","Pumpkins, Raspberries, Strawberries",,,,
Tuttle Orchards,,,,,,"U-Pick Farm, Orchard","Apples, Pumpkins",,,,
Tyler’s Rocky Point Orchard,145 E Slope Rd,Emmett,ID,,"145 E Slope Rd, Emmett, Idaho 83617","U-Pick Farm, Orchard","Apples, Apricots, Cherries, Peaches, Plums",,,,
"U-Pick/We-Pick Tomatoes, St. Paul, OR",21002 River Rd. NE,St. Paul,OR,97137,"21002 River Rd. NE, St. Paul, OR 97137","U-Pick Farm, Orchard",Tomatoes,,,,
Ufford Hills Pumpkin Patch,,,,,,"U-Pick Farm, Orchard",Pumpkins,,,,
Uncle Johnny’s U-Pick Farm,18561 Surface Creek Road,Cedaredge,CO,81413,"18561 Surface Creek Road, Cedaredge, CO 81413","U-Pick Farm, Orchard",Squash,,,,
Underwood Family Farms,3370 Sunset Valley Rd,Moorpark,CA,,"3370 Sunset Valley Rd, Moorpark, California 93021","U-Pick Farm, Orchard","Blackberries, Pumpkins, Strawberries, Tomatoes, Vegetables",,,,
Union Orchard,2405 S Highway 75,Union,NE,,"2405 S Highway 75, Union, Nebraska 68455","U-Pick Farm, Orchard","Apples, Pumpkins",,,,
UPick Strawberry Farm,5396 Hahn Road,DeForest,WI,53532,"5396 Hahn Road, DeForest, WI 53532","U-Pick Farm, Orchard","Beans, Broccoli, Cucumbers, Green Beans, Kale, Leafy Greens, Melons, Pumpkins, Squash, Strawberries, Sugar Snap Peas, Tomatoes, Vegetables",,,,
Valley Orchard,,,,,,"U-Pick Farm, Orchard",Apples,,,,
Vandervalk Farm & Winery,25 Lovell St,Mendon,MA,,"25 Lovell St, Mendon, Massachusetts 01756","U-Pick Farm, Orchard",Blueberries,,,,
Vertuccio Farms,4011 S. Power Rd,Mesa,AZ,,"4011 S. Power Rd, Mesa, Arizona 85212","U-Pick Farm, Orchard","Citrus, Watermelons",,,,
Villa del Sol,6989 Elizabeth Lake Road,Leona Valley,CA,,"6989 Elizabeth Lake Road, Leona Valley, California 93551","U-Pick Farm, Orchard",Cherries,,,,
Vine Abiding Farms,,,,,,"U-Pick Farm, Orchard","Apples, Peaches",,,,
Volcan Valley Farm,1284 Julian Orchards Dr,Julian,CA,,"1284 Julian Orchards Dr, Julian, California 92036","U-Pick Farm, Orchard",Apples,,,,
Vollmer Farm,677 NC Hwy 98 E,Bunn,,,"677 NC Hwy 98 E, Bunn, 0 27508","U-Pick Farm, Orchard","Blackberries, Blueberries, Strawberries",,,,
Wagner Farms,5000 Corrales Rd,Corrales,NM,,"5000 Corrales Rd, Corrales, New Mexico 87048","U-Pick Farm, Orchard",Apples,,,,
Wagon Wheel Orchard,15380 Edgerton Road,Gardner,KS,,"15380 Edgerton Road, Gardner, Kansas 66030","U-Pick Farm, Orchard","Apples, Cherries, Peaches, Pears",,,,
Wake Forest Farms,6817 Zebulon Road,Wake Forest,NC,27587,"6817 Zebulon Road, Wake Forest, NC 27587","U-Pick Farm, Orchard",Blueberries,,,,
Walker’s Blueberries,,,,,,"U-Pick Farm, Orchard",Blueberries,,,,
Wallys Farm,495 Pakala St.,Honolulu,HI,96825,"495 Pakala St., Honolulu, HI 96825","U-Pick Farm, Orchard","Beans, Beets, Carrots, Citrus, Collard, Eggplant, Figs, Garlic, Green Beans, Herbs, Kale, Leafy Greens, Lemons, Limes, Oranges, Peas, Peppers, Potatoes, Rhubarb, Sugar Snap Peas, Swiss Chard, Turnip Greens, Vegetables",,,,
Walnut Drive Gardens,2129 Randolph Rd,Mogadore,OH,,"2129 Randolph Rd, Mogadore, Ohio 44260","U-Pick Farm, Orchard","Peppers, Raspberries, Strawberries, Tomatoes",,,,
Walvoord’s Berry Farm,2160 Smiles Road,Oostburg,WI,,"2160 Smiles Road, Oostburg, Wisconsin 53070","U-Pick Farm, Orchard",Strawberries,,,,
Warbington Farms,5555 Crow Road,Cumming,GA,,"5555 Crow Road, Cumming, Georgia 30041","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Ward’s Berry Farm,614 South Main St,Sharon,MA,,"614 South Main St, Sharon, Massachusetts 02067","U-Pick Farm, Orchard","Blueberries, Pumpkins, Strawberries",,,,
Weaver’s Berry Land Farm,2252 Hwy 16 West,Jackson,GA,,"2252 Hwy 16 West, Jackson, Georgia 30233","U-Pick Farm, Orchard","Blackberries, Blueberries, Raspberries",,,,
Webb Ranch,2720 Alpine Road,Portola Valley,,,"2720 Alpine Road, Portola Valley, 1003 94028","U-Pick Farm, Orchard","Blackberries, Raspberries",,,,
Webers PeachBerry Farm,11409 Harford Road,Glen Arm,MD,21057,"11409 Harford Road, Glen Arm, MD 21057","U-Pick Farm, Orchard","Apples, Black Raspberries, Blackberries, Blueberries, Cut Flowers, Peaches, Strawberries",,,,
Wegmeyer Farms,38299 Hughesville Road,Hamilton,VA,,"38299 Hughesville Road, Hamilton, Virginia 20158","U-Pick Farm, Orchard","Pumpkins, Strawberries",,,,
Wellsberry Farm,416 E 7th Street,Wellsville,KS,,"416 E 7th Street, Wellsville, Kansas 66092","U-Pick Farm, Orchard","Blackberries, Raspberries",,,,
Wenninghoff’s Pumpkin Patch,6707 Wenninghoff Rd,Omaha,NE,,"6707 Wenninghoff Rd, Omaha, Nebraska 68122","U-Pick Farm, Orchard",Pumpkins,,,,
White Oak Farm,1700 Brownstone Road,Renick,VA,,"1700 Brownstone Road, Renick, West Virginia 24966","U-Pick Farm, Orchard",Blueberries,,,,
Whittier Fruit Farm,,,,,,"U-Pick Farm, Orchard","Apples, Blueberries, Cherries, Plums, Pumpkins",,,,
Wild Berry Farm,905 Crawford Rd,Sadler,TX,,"905 Crawford Rd, Sadler, Texas 76264","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Wild Rose Strawberry Farm,7645 N 429 Rd,Adair,OK,,"7645 N 429 Rd, Adair, Oklahoma 74330","U-Pick Farm, Orchard",Strawberries,,,,
Wild Things Farm,700 Beaty Ave,Pocola,,,"700 Beaty Ave, Pocola, 0 74902","U-Pick Farm, Orchard","Blackberries, Blueberries, Strawberries",,,,
Wildwood Berry Farm,2977 Mad Tom Road,East Dorset,,,"2977 Mad Tom Road, East Dorset, 1043 05253","U-Pick Farm, Orchard","Blueberries, Raspberries",,,,
Wilfert Farms,7528 Manitou Drive,Two Rivers,WI,,"7528 Manitou Drive, Two Rivers, Wisconsin 54241","U-Pick Farm, Orchard",Pumpkins,,,,
Wilinda Blueberry Patch,730 Frankton Rd,Hood River,OR,,"730 Frankton Rd, Hood River, Oregon 97031","U-Pick Farm, Orchard",Blueberries,,,,
Willims Fruit Ranch,2455 W South Slope Rd,Emmett,ID,,"2455 W South Slope Rd, Emmett, Idaho 83617","U-Pick Farm, Orchard","Apples, Cherries, Peaches, Plums",,,,
Wilson’s Orchard,4823 Dingleberry Road NE,Iowa City,IA,,"4823 Dingleberry Road NE, Iowa City, Iowa 52240","U-Pick Farm, Orchard",Apples,,,,
Wilton Blueberry,83 McLaughlin Road,Wilton,ME,,"83 McLaughlin Road, Wilton, Maine 04294","U-Pick Farm, Orchard",Blueberries,,,,
Wind Drift Orchard,18499 NE 50th St,Harrah,OK,,"18499 NE 50th St, Harrah, Oklahoma 73045","U-Pick Farm, Orchard","Nectarines, Peaches",,,,
Wind Harvest Farm,830 Henry Rd,Morril,NE,,"830 Henry Rd, Morril, Nebraska 69358","U-Pick Farm, Orchard",Raspberries,,,,
Wind Ridge Farm,3511 Highway F,New Melle,MO,,"3511 Highway F, New Melle, Missouri 63365","U-Pick Farm, Orchard","Blackberries, Blueberries, Peaches",,,,
Windy Creek Vineyards,3295 Union Hill Road,Sanger,,,"3295 Union Hill Road, Sanger, 1041 76266","U-Pick Farm, Orchard","Grapes, Peaches, Plums",,,,
Winslow Farm,291 Gray rd,Falmouth,ME,04105,"291 Gray rd, Falmouth, ME 04105","U-Pick Farm, Orchard",Blueberries,,,,
Wohletz Farm Fresh,1831 N 1100 Rd,Lawrence,KS,,"1831 N 1100 Rd, Lawrence, Kansas 66046","U-Pick Farm, Orchard",Strawberries,,,,
Woodland Berry Farms,10821 Pierce Street,Zeeland,MI,,"10821 Pierce Street, Zeeland, Michigan 49464","U-Pick Farm, Orchard","Blueberries, Strawberries",,,,
Wye Mountain Flowers & Berries,20309 Hwy 113,Roland,AR,,"20309 Hwy 113, Roland, Arkansas 72135","U-Pick Farm, Orchard","Blackberries, Blueberries, Raspberries",,,,
Ya Ya Farm & Orchard,6914 Ute Hwy,Longmont,CO,,"6914 Ute Hwy, Longmont, Colorado 80503","U-Pick Farm, Orchard",Apples,,,,
Yoder’s Upick Strawberry Patch,65800 County Road 33,Goshen,IN,,"65800 County Road 33, Goshen, Indiana 46526","U-Pick Farm, Orchard",Strawberries,,,,
Young Harvest Farm,2955 Beulah Church Rd,Arrington,TN,37014,"2955 Beulah Church Rd, Arrington, TN 37014",Farm MarketFestival,"Cut Flowers, Flowers",,,,
Youngman Family Farm,472654 E 700 Rd,Westville,OK,74965,"472654 E 700 Rd, Westville, OK 74965","U-Pick Farm, Orchard","Blackberries, Blueberries",,,,
Zettel Farms,7886 County Road A,Baileys Harbor,,,"7886 County Road A, Baileys Harbor,  54202","U-Pick Farm, Orchard",Cherries,,,,
"Zimmerman’s Berry Farm, LLC",2260 Revere Road,Marshall,NC,28753,"2260 Revere Road, Marshall, NC 28753","U-Pick Farm, Orchard","Black Raspberries, Blackberries",,,,
Zurbrugg Blueberries,11834 Evergreen Rd. NE,Silverton,OR,,"11834 Evergreen Rd. NE, Silverton, Oregon 97381","U-Pick Farm, Orchard",Blueberries,,,,
Apple Orchards with pumpkins:,,,,,,"U-Pick Farm, Orchard",,,,,
Apple Orchards Master List,,,,,,"U-Pick Farm, Orchard",,,,,
Cranberry Bogs (Farms),,,,,,"U-Pick Farm, Orchard",,,,,
Search the Web for a specific Pick Your Own Farm,,,,,,"U-Pick Farm, Orchard",,,,,
It's easy to search the for Pick Your Own Farms when its page is gone.,,,,,,"U-Pick Farm, Orchard",,,,,
Pick Your Own Farms in Other Countries,"Smart silent HEPA Air Purifiers for Home, Large Rooms for Allergies, Smoke, Pets. Eliminates 99.97% of Dust, Pet Hair, Odors",,,,"Smart silent HEPA Air Purifiers for Home, Large Rooms for Allergies, Smoke, Pets. Eliminates 99.97% of Dust, Pet Hair, Odors","U-Pick Farm, Orchard",,,,,
Wanda's Nature Farm Foods -,"For 150 specific, simple recipes with step-by-step directions and photos; and general information on canning and food preservation, see this page.",,,,"For 150 specific, simple recipes with step-by-step directions and photos; and general information on canning and food preservation, see this page.","U-Pick Farm, Orchard",,866-352-9872,,,
Pumpkin patches and corn mazesFarm Visit Guide,,,,,,"U-Pick Farm, Orchard",,,,,
"Maggie's Farm - flowers, porta-potties","2770 Freeman Road, North Pole, AK 99705. Phone: (907) 987-4034. Email: alaskapeonygirl.2.53@gmail.com. Open: Sunday through Saturday while the peonies are blooming 12 noon to 5 pm. Directions: 1.25 mile Freeman Road, North Pole across from Florence Road. Payment: Cash, Debit cards, Visa, MasterCard, Discover, AmEx. Click here for our Facebook page. (UPDATED: July 01, 2021) (ADDED: June 22, 2020)",,,,"2770 Freeman Road, North Pole, AK 99705. Phone: (907) 987-4034. Email: alaskapeonygirl.2.53@gmail.com. Open: Sunday through Saturday while the peonies are blooming 12 noon to 5 pm. Directions: 1.25 mile Freeman Road, North Pole across from Florence Road. Payment: Cash, Debit cards, Visa, MasterCard, Discover, AmEx. Click here for our Facebook page. (UPDATED: July 01, 2021) (ADDED: June 22, 2020)","U-Pick Farm, Orchard",,,,,
Nugget Farms - apples,"100-118 N Cushman St, Fairbanks, AK.  Phone: (907) 455-4721.",,,,"100-118 N Cushman St, Fairbanks, AK.  Phone: (907) 455-4721.","U-Pick Farm, Orchard",,,,,
"Pearl Creek Farm - raspberries (red), porta-potties are available","Comments from a visitor on August 15, 2009: ""I love this place. I have had the chance to work in the greenhouses during the late winter and early spring, and I love picking berries here in late summer. I am originally from Atlanta, Georgia, and grew up picking blackberries every summer; I missed that; thank goodness for this place and my new black berry: currants. Just picked 30 pounds with a friend last week, we had a blast.""",,,,"Comments from a visitor on August 15, 2009: ""I love this place. I have had the chance to work in the greenhouses during the late winter and early spring, and I love picking berries here in late summer. I am originally from Atlanta, Georgia, and grew up picking blackberries every summer; I missed that; thank goodness for this place and my new black berry: currants. Just picked 30 pounds with a friend last week, we had a blast.""","U-Pick Farm, Orchard",,,,,
"Fire Apple Orchard & Gardens - No pesticides are used, apples, pie or sour cherries, haskaps,","4214 S. Andrea, Wasilla, AK 99654. Phone: (907) 373-6317. Email: fireapple@mtaonline.net. Open: Sunday from 1 pm to 4 pm ,Except Opening Day on Mother's Day: 10 am to 6 pm, Monday to Wednesday Closed, Thursday to Saturday from 10 am to 5 pm, Friday and Saturday from 10 am to 5 pm; We will be open until freeze up; We May be closed at any time due to staff shortage, orchard maintenance or we've gone fishing so please call before driving from a long distance; We May open on closed days based on harvest and other factors. Directions: From Wasilla proceed north on the Parks Highway to mile 51.5. Turn left on Johnsons Road and proceed two miles to Hollywood Road. Cross Hollywood onto Andrea Drive and proceed one half mile to the end where you will see a wooden fence, gate and a big yellow sign. Haskap harvest starts the first week of July, Cherries the end of July and Apples the middle of August; Harvest time varies based on weather conditions so please call;. We do not use pesticides on the crops. Payment: Cash, Check. Grafting classes taught in the middle of April. Bring a picnic lunch and enjoy the orchard. Large sandbox available for he children. Outhouse available.",,,,"4214 S. Andrea, Wasilla, AK 99654. Phone: (907) 373-6317. Email: fireapple@mtaonline.net. Open: Sunday from 1 pm to 4 pm ,Except Opening Day on Mother's Day: 10 am to 6 pm, Monday to Wednesday Closed, Thursday to Saturday from 10 am to 5 pm, Friday and Saturday from 10 am to 5 pm; We will be open until freeze up; We May be closed at any time due to staff shortage, orchard maintenance or we've gone fishing so please call before driving from a long distance; We May open on closed days based on harvest and other factors. Directions: From Wasilla proceed north on the Parks Highway to mile 51.5. Turn left on Johnsons Road and proceed two miles to Hollywood Road. Cross Hollywood onto Andrea Drive and proceed one half mile to the end where you will see a wooden fence, gate and a big yellow sign. Haskap harvest starts the first week of July, Cherries the end of July and Apples the middle of August; Harvest time varies based on weather conditions so please call;. We do not use pesticides on the crops. Payment: Cash, Check. Grafting classes taught in the middle of April. Bring a picnic lunch and enjoy the orchard. Large sandbox available for he children. Outhouse available.","U-Pick Farm, Orchard",,,,,
"Garcia's Alaska Farm - Raspberries.,",,,,,,"U-Pick Farm, Orchard",,(907) 746-6160,,,
Pyrah's Pioneer Peak Farm - vegetables,"Comments from a visitor on July 27, 2014: ""I stopped going to Pyrah's several years ago when I encountered a sign saying we could not go anywhere near a specific area because it had just been sprayed with pesticides. I recently emailed them to see if they had stopped using the pesticides, but they never responded. I was finally able to get someone to answer the phone after several calls. The girl I spoke to said ""no we are not organic and yes we do use pesticides"". I just don't believe the chemicals and pesticides somehow miraculously disappear from fruits and vegetables when they hit your table. This is a big concern to my family and we always do our best to buy organic only.""",,,,"Comments from a visitor on July 27, 2014: ""I stopped going to Pyrah's several years ago when I encountered a sign saying we could not go anywhere near a specific area because it had just been sprayed with pesticides. I recently emailed them to see if they had stopped using the pesticides, but they never responded. I was finally able to get someone to answer the phone after several calls. The girl I spoke to said ""no we are not organic and yes we do use pesticides"". I just don't believe the chemicals and pesticides somehow miraculously disappear from fruits and vegetables when they hit your table. This is a big concern to my family and we always do our best to buy organic only.""","U-Pick Farm, Orchard",,,,,
"Other Local Farm Products (Honey, Horses, Milk, Meat, Eggs, Etc.)",,,,,,"U-Pick Farm, Orchard",,,,,
"Venues: Farms, Wineries, Orchards for your event, wedding or party",,,,,,"U-Pick Farm, Orchard",,,,,
"Blue Heaven Farm - No pesticides are used, blueberries, U-pick and already picked","17 Barkers Landing Rd, Magnolia, DE 19962. Phone: (302) 335-2490. Email: rtramuta@comcast.net. Open: Open:  They have ZERO online presence, except for the coments from others that I have linked to, so you must call or email them to find out when they have anything to pick; if you have any current information, please write me. Monday to Friday 10am to 5pm Saturday 10am to 2pm Sunday Closed. Directions: South on South State Street turn left at the Magnolia Fire Station. Click here for a map and directions. June 15 to July 25. We do not use pesticides on the crops. Payment: Cash, only. (ADDED: June 26, 2020)",,,,"17 Barkers Landing Rd, Magnolia, DE 19962. Phone: (302) 335-2490. Email: rtramuta@comcast.net. Open: Open:  They have ZERO online presence, except for the coments from others that I have linked to, so you must call or email them to find out when they have anything to pick; if you have any current information, please write me. Monday to Friday 10am to 5pm Saturday 10am to 2pm Sunday Closed. Directions: South on South State Street turn left at the Magnolia Fire Station. Click here for a map and directions. June 15 to July 25. We do not use pesticides on the crops. Payment: Cash, only. (ADDED: June 26, 2020)","U-Pick Farm, Orchard",,,,,
"Bobola Farm & Florist -  pumpkins, strawberries, gift shop, porta-potties","5268 Forrest Avenue, Dover, DE 19904. Phone: (302) 492-3367. Email: bobolaflorist@aol.com. Open: Strawberries mid May through June, weather pending, Monday through Saturday, 8am to 5:30pm. Directions: Located 5 miles West of Dover on Route 8 (Forrest Avenue), just East of Pearsons Corner intersection. Click here for a map and directions. Strawberry season is typically May 15 through the month of June, Pumpkin and corn maze season begins mid September through the month of October, Christmas trees are available after Thanksgiving up to Christmas; Strawberry Festival is typically held the Saturday of Memorial Day weekend; Fall Festival will be held October 20th 2018;. Payment: Cash, Visa, MasterCard, Discover, AmEx. Click here for our Facebook page. Fall Festival and Strawberry Festival includes activities such as petting zoo, face painting, bounce houses, barrel cart rides, and games. We are also a floral Shop we do Weddings,Annivesary,Birthdays,and Funeral Flowers. We also have 8 greenhouses we grow our own mums, Poins,Annual and Perennials. we also carry smaller shrubs, roses bushes.(UPDATED: September 11, 2018) [ Click here to update the listing ] (UPDATED: May 13, 2025, JBS)",,,,"5268 Forrest Avenue, Dover, DE 19904. Phone: (302) 492-3367. Email: bobolaflorist@aol.com. Open: Strawberries mid May through June, weather pending, Monday through Saturday, 8am to 5:30pm. Directions: Located 5 miles West of Dover on Route 8 (Forrest Avenue), just East of Pearsons Corner intersection. Click here for a map and directions. Strawberry season is typically May 15 through the month of June, Pumpkin and corn maze season begins mid September through the month of October, Christmas trees are available after Thanksgiving up to Christmas; Strawberry Festival is typically held the Saturday of Memorial Day weekend; Fall Festival will be held October 20th 2018;. Payment: Cash, Visa, MasterCard, Discover, AmEx. Click here for our Facebook page. Fall Festival and Strawberry Festival includes activities such as petting zoo, face painting, bounce houses, barrel cart rides, and games. We are also a floral Shop we do Weddings,Annivesary,Birthdays,and Funeral Flowers. We also have 8 greenhouses we grow our own mums, Poins,Annual and Perennials. we also carry smaller shrubs, roses bushes.(UPDATED: September 11, 2018) [ Click here to update the listing ] (UPDATED: May 13, 2025, JBS)","U-Pick Farm, Orchard",,,,,
"Hundred Acre Farms - strawberries, blackberries, u-pick and pre-picked, Christmas trees","14255 S. DuPont Hwy, Harrington, DE 19952. Phone: (302) 566-6943. Email: twistedsteelcattlecollc@gmail.com. Open: daily (in season) from 10 am to 5:30 pm, rain or shine. Farm market featuring our own home grown beef and our own ""veggies"" and so much more. Ccustomers may call ahead to have an order ready for them and to let us know if they prefer us to bring it out to them. (ADDED: June 14, 2022, JBS) [ Click here to update the listing ] (UPDATED: May 13, 2025, JBS)",,,,"14255 S. DuPont Hwy, Harrington, DE 19952. Phone: (302) 566-6943. Email: twistedsteelcattlecollc@gmail.com. Open: daily (in season) from 10 am to 5:30 pm, rain or shine. Farm market featuring our own home grown beef and our own ""veggies"" and so much more. Ccustomers may call ahead to have an order ready for them and to let us know if they prefer us to bring it out to them. (ADDED: June 14, 2022, JBS) [ Click here to update the listing ] (UPDATED: May 13, 2025, JBS)","U-Pick Farm, Orchard",,,,,
"Berry Good Farm - Uses natural growing practices, blackberries,","1343 Bunker Hill Rd, Middletown, DE 19709. Phone: 302-378-2754.E mail: pumpkinlady46@yahoo.com. Open: Monday to Saturday from 7am to 7pm, Sunday from 7am to 6pm, get there in APRIL for strawberries. Directions: Off Route 301 south, west of Middletown. 2 Miles down Bunker Hill Road. Click here for a map and directions. Payment: Cash, Debit cards, Visa, MasterCard, Discover. [ Click here to update the listing ] (UPDATED: May 13, 2025, JBS)",,,,"1343 Bunker Hill Rd, Middletown, DE 19709. Phone: 302-378-2754.E mail: pumpkinlady46@yahoo.com. Open: Monday to Saturday from 7am to 7pm, Sunday from 7am to 6pm, get there in APRIL for strawberries. Directions: Off Route 301 south, west of Middletown. 2 Miles down Bunker Hill Road. Click here for a map and directions. Payment: Cash, Debit cards, Visa, MasterCard, Discover. [ Click here to update the listing ] (UPDATED: May 13, 2025, JBS)","U-Pick Farm, Orchard",,,,,
"Thousand Acre Farm - apples, farm market, farm weddings","260 South Reedy Point Road, Middletown, DE 19709. Phone: 302-893-3510. Email: thousandacrefarm@gmail.com. Open: Starting after Labor Day, the orchard will be open for Pick Your Own Apples. Thousand Acre Farm Facebook page. Take a stroll & pick your own  apples, sunflowers and pumpkins! We also welcome any schools/childcare centers for apple picking field trips! Sunflower picking starts June/July: 2024 prices: $7 for 1/2 dozen or $9 for 1 dozen, Pumpkin picking starts October 1st: $12 each. Please check our social media for updates.",,,,"260 South Reedy Point Road, Middletown, DE 19709. Phone: 302-893-3510. Email: thousandacrefarm@gmail.com. Open: Starting after Labor Day, the orchard will be open for Pick Your Own Apples. Thousand Acre Farm Facebook page. Take a stroll & pick your own  apples, sunflowers and pumpkins! We also welcome any schools/childcare centers for apple picking field trips! Sunflower picking starts June/July: 2024 prices: $7 for 1/2 dozen or $9 for 1 dozen, Pumpkin picking starts October 1st: $12 each. Please check our social media for updates.","U-Pick Farm, Orchard",,,,,
"Bennett Orchards - nectarines, peaches, blueberries","14036 Seashore Highway, Greenwood, DE. Phone: 302-349-5446. Open: UPDATE for 2025: Call before you go, Does anyone have current information, are they still offering pick your own or are even open? If so, please write me; last reported hours were April to November, from 8 am to 8 pm. (ADDED: May 12, 2010, from visitor) [ Click here to update the listing ]",,,,"14036 Seashore Highway, Greenwood, DE. Phone: 302-349-5446. Open: UPDATE for 2025: Call before you go, Does anyone have current information, are they still offering pick your own or are even open? If so, please write me; last reported hours were April to November, from 8 am to 8 pm. (ADDED: May 12, 2010, from visitor) [ Click here to update the listing ]","U-Pick Farm, Orchard",,,,,
"Ernest Fruit Farm - strawberries, blueberries, you-pick and already picked","6094 Epthworth Church Rd, Bridgeville, DE 19933. Open: UPDATE for 2025: Call before you go, Does anyone have current information, are they still offering pick your own or are even open? If so, please write me; last reported hours were May to September. We have already harvested Beans-lima, Beans-snap, Cucumbers, Peas, Peppers, Squash, Strawberries, and Tomatoes.",,,,"6094 Epthworth Church Rd, Bridgeville, DE 19933. Open: UPDATE for 2025: Call before you go, Does anyone have current information, are they still offering pick your own or are even open? If so, please write me; last reported hours were May to September. We have already harvested Beans-lima, Beans-snap, Cucumbers, Peas, Peppers, Squash, Strawberries, and Tomatoes.","U-Pick Farm, Orchard",,,,,
